Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Calocera	0.917	0.8841	400	Calocera	0.917	0.8841	400	64	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Suillellus	0.986	0.9244	400	Suillellus	0.986	0.9244	400	92	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Scutellinia	0.985	0.6265	400	All	0.991	0.8232	400	164	37	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Dipodascus	0.896	0.9087	400	Dipodascus	0.896	0.9087	400	150	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Thozetella	0.99	0.8846	400	Thozetella	0.99	0.8846	400	41	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hyphopichia	0.949	0.8678	400	Hyphopichia	0.949	0.8678	400	160	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Polyblastia	0.98	0.8996	400	Polyblastia	0.98	0.8996	400	79	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ceratocystiopsis	0.979	0.7664	400	All	0.991	0.8232	400	48	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Nannizziopsis	0.975	0.8952	400	Nannizziopsis	0.975	0.8952	400	51	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Biatora	0.981	0.9455	400	Biatora	0.981	0.9455	400	171	47	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Neodeightonia	0.993	0.8044	400	All	0.991	0.8232	400	60	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calicium	0.965	0.7844	400	All	0.991	0.8232	400	110	29	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Urnula	0.906	0.9145	400	Urnula	0.906	0.9145	400	49	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
