Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Nannizziopsis	0.978	0.8532	50	Nannizziopsis	0.978	0.8532	50	32	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Calonectria	0.995	0.6597	50	All	0.987	0.8262	50	63	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Geopora	0.964	0.7305	50	All	0.987	0.8262	50	79	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Polycauliona	0.979	0.8917	50	Polycauliona	0.979	0.8917	50	58	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Naucoria	0.982	0.7112	50	All	0.987	0.8262	50	46	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cylindrocladiella	0.995	0.8672	50	Cylindrocladiella	0.995	0.8672	50	33	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Suhomyces	0.967	0.958	50	Suhomyces	0.967	0.958	50	46	26	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Podospora	0.981	0.8763	50	Podospora	0.981	0.8763	50	75	33	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Sporisorium	0.99	0.9383	50	Sporisorium	0.99	0.9383	50	117	48	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Sugiyamaella	0.987	0.971	50	Sugiyamaella	0.987	0.971	50	60	27	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Austroboletus	0.933	0.9054	50	Austroboletus	0.933	0.9054	50	69	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hermatomyces	0.994	0.9006	50	Hermatomyces	0.994	0.9006	50	32	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Nephromopsis	0.986	0.9333	50	Nephromopsis	0.986	0.9333	50	39	12	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Austroplaca	0.99	0.7806	50	All	0.987	0.8262	50	30	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Teratosphaeria	0.993	0.9321	50	Teratosphaeria	0.993	0.9321	50	162	49	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Glutinoglossum	0.989	0.8435	50	Glutinoglossum	0.989	0.8435	50	45	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tubeufia	0.988	0.8696	50	Tubeufia	0.988	0.8696	50	63	34	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Readeriella	0.995	0.7871	50	All	0.987	0.8262	50	32	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Yamadazyma	0.977	0.8868	50	Yamadazyma	0.977	0.8868	50	71	22	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Paramycosphaerella	0.987	0.9693	50	Paramycosphaerella	0.987	0.9693	50	34	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dactylella	0.982	0.9143	50	Dactylella	0.982	0.9143	50	30	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dufourea	0.984	0.8293	50	Dufourea	0.984	0.8293	50	44	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Macalpinomyces	0.981	0.9224	50	Macalpinomyces	0.981	0.9224	50	48	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cladia	0.986	0.6703	50	All	0.987	0.8262	50	74	12	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hirsutella	0.986	0.7994	50	All	0.987	0.8262	50	68	28	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Niebla	0.994	0.7215	50	All	0.987	0.8262	50	37	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Teunomyces	0.984	0.98	50	Teunomyces	0.984	0.98	50	30	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pseudocyphellaria	0.984	0.8563	50	Pseudocyphellaria	0.984	0.8563	50	112	40	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cryptosporella	0.994	0.8347	50	Cryptosporella	0.994	0.8347	50	43	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Protoblastenia	0.935	0.8285	50	Protoblastenia	0.935	0.8285	50	43	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pachyphlodes	0.969	0.9119	50	Pachyphlodes	0.969	0.9119	50	53	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Plagiostoma	0.989	0.8897	50	Plagiostoma	0.989	0.8897	50	43	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Derxomyces	0.989	0.9313	50	Derxomyces	0.989	0.9313	50	51	26	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dermatocarpon	0.971	0.7326	50	All	0.987	0.8262	50	102	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dirina	0.974	0.8648	50	Dirina	0.974	0.8648	50	123	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Anzia	0.974	0.7533	50	All	0.987	0.8262	50	30	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Oropogon	0.97	0.93	50	Oropogon	0.97	0.93	50	31	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Kondoa	0.97	0.9586	50	Kondoa	0.97	0.9586	50	45	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Septobasidium	0.958	0.9279	50	Septobasidium	0.958	0.9279	50	37	31	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dendrostoma	0.987	0.7846	50	All	0.987	0.8262	50	40	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Lobariella	0.988	0.88	50	Lobariella	0.988	0.88	50	50	20	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Kockovaella	0.986	0.9658	50	Kockovaella	0.986	0.9658	50	37	21	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Solenopsora	0.98	0.9665	50	Solenopsora	0.98	0.9665	50	53	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Glomus	0.932	0.8329	50	Glomus	0.932	0.8329	50	102	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Stephanospora	0.987	0.6814	50	All	0.987	0.8262	50	43	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Phyllopsora	0.928	0.8387	50	Phyllopsora	0.928	0.8387	50	110	44	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Subulicystidium	0.976	0.692	50	All	0.987	0.8262	50	69	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Lamprospora	0.953	0.9122	50	Lamprospora	0.953	0.9122	50	32	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Melanconiella	0.986	0.8875	50	Melanconiella	0.986	0.8875	50	32	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dominikia	0.953	0.9332	50	Dominikia	0.953	0.9332	50	37	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	All	0.987	0.8262	50	All	0.987	0.8262	50	16519	9439	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
phylum	Fungi	0.828	0.6205	50	Fungi	0.828	0.6205	50	9264	19	unite2024ITS2.unique.phylum.fasta	unite2024ITS2.unique.phylum.classification
phylum	All	0.828	0.6205	50	All	0.828	0.6205	50	9264	19	unite2024ITS2.unique.phylum.fasta	unite2024ITS2.unique.phylum.classification
