Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Sporothrix	0.984	0.9785	277	32	50	0.3574	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pluteus	0.987	0.8207	657	144	50	0.0848	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Annulohypoxylon	0.95	0.8532	157	22	50	0.3493	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Podosphaera	0.987	0.9032	214	26	50	0.2889	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Gymnopilus	0.987	0.7945	204	42	50	0.1438	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cordyceps	0.989	0.8562	224	36	50	0.209	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Eutypella	0.986	0.9402	84	14	50	0.2364	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hydnum	0.991	0.8456	207	41	50	0.0988	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Botryobasidium	0.937	0.9154	46	11	50	0.2745	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Peltula	0.961	0.9675	41	34	50	0.0976	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hymenopellis	0.969	0.7344	87	11	50	0.297	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Geosmithia	0.989	0.8463	135	11	50	0.25	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lentinus	0.979	0.8112	195	11	50	0.1547	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Leveillula	0.985	0.7647	100	16	50	0.6555	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Parastagonospora	0.981	0.8455	69	12	50	0.4463	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Suillus	0.986	0.9383	222	17	50	0.0888	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Yarrowia	0.7	0.9379	147	12	50	0.7484	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Stemphylium	0.994	0.9619	151	11	50	0.3588	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
